IP	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
217.115.10.131	tor1.anonymizer.ccc.de	31078	Netsign Networks GmbH	Netsign Networks GmbH	Netsign Networks GmbH			
217.115.10.132	tor2.anonymizer.ccc.de	31078	Netsign Networks GmbH	Netsign Networks GmbH	Netsign Networks GmbH			
217.12.204.104	exit1.tor-proxy.net.ua	15626	ITL Company	ITL Company	ITL Company	Kharkiv	UA	Ukraine
109.163.234.2	hessel0.torservers.net	3223	Voxility S.R.L.	Voxility S.R.L.	Voxility S.R.L.			
141.138.141.208	tor-exit-141-138-141-208.colo.transip.net	20857	Transip B.V.	Transip B.V.	Transip B.V.			
178.17.170.201	7.tor.exit.babylon.network	43289	I.C.S. Trabia-Network S.R.L.	trabia network	trabia network	Chisinau	MD	Republic of Moldova
185.128.40.220	tor-exit.koneko.co	60392	Grupo Panaglobal 15 S.A	Grupo Panaglobal 15 S.A	Grupo Panaglobal 15 S.A		CH	Switzerland
198.50.200.131	tor-exit-readme.jessevictors.com	16276	OVH SAS	OVH Hosting	OVH Hosting		PA	Panama
207.244.97.183	exit.manassas.tor-node.net	30633	Leaseweb USA, Inc.	Leaseweb USA	Leaseweb USA	Manassas	US	United States
209.222.77.220	tor-relay.redteam.net	46844	Sharktech	Sharktech	Sharktech			
204.194.29.4	TOR-EXIT.CYLAB.CMU.EDU	9	Carnegie Mellon University	Carnegie Mellon University	Carnegie Mellon University			
23.239.10.144	tor.shamm.as	63949	Linode, LLC	Linode	Linode	Newark	US	United States
64.137.178.3	www.torproject.org	55053	2267921 ONTARIO LTD	KW Datacenter	KW Datacenter			
71.19.157.127	tor.svc.explicate.org	47066	prgmr.com, Inc.	prgmr.com	prgmr.com			
89.187.145.103	tor-exit.illusional.me	35592	Coolhousing s.r.o.	Coolhousing s.r.o.	Coolhousing s.r.o.		CZ	Czechia
94.103.175.86	tor-exit.squirrel.theremailer.net	48039	GHOSTnet GmbH	GHOSTnet GmbH	GHOSTnet GmbH			
94.242.57.2	tor-exit.becquerel.org	43317	OOO Fishnet Communications	vstoike.com vps clients	vstoike.com vps clients			
