IP	attacks	hostname	asNumber	asOrg	org	ispName	cityName	countryCode	countryName
212.7.219.155	11761	88.reneys.net	198156	Dediserv Dedicated Servers Sp. z o.o.	Dediserv Dedicated Servers Sp. z o.o.	Dediserv Dedicated Servers Sp. z o.o.			
82.221.129.96	10900	credits-2win.net	50613	Thor Data Center ehf	Advania hf.	Advania hf.			
188.93.234.203	10796		49349	Dotsi, Unipessoal Lda.	Dotsi, Unipessoal Lda.	Dotsi, Unipessoal Lda.		PT	Portugal
185.80.50.33	10782		62214	Rackforest Informatikai Kereskedelmi Szolgaltato es Tanacsado Kft.	ACI Technologies Bt	ACI Technologies Bt		HU	Hungary
162.244.26.76	10513	c999949498-cloudpro-243221077.cloudatcost.com	55053	2267921 ONTARIO LTD	KW Datacenter	KW Datacenter			
192.160.102.166	10441	chaucer.relay.coldhak.com	395089	Hextet Systems	Hextet Systems	Hextet Systems			
46.165.228.119	10273	de3x.mullvad.net	28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH		DE	Germany
85.159.237.210	10214		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.			
88.198.14.171	8039	tor1.piratenpartei-bayern.de	24940	Hetzner Online GmbH	Hetzner Online AG	Hetzner Online AG	Nuremberg	DE	Germany
5.28.62.85	7891	tor.yrk.urgs.uk0.bigv.io	35425	Bytemark Limited	Bytemark Limited	Bytemark Limited			
62.210.129.246	7841	relay1.tor.openinternet.io	12876	Online S.a.s.	ONLINE SAS	ONLINE SAS			
198.58.107.53	7446	tor.tyler.zone	63949	Linode, LLC	Linode	Linode			
146.185.135.43	7325		undefined	undefined	Digital Ocean	Digital Ocean	Amsterdam	NL	Netherlands
185.65.134.75	6921		39351	31173 Services AB	31173 Services AB	31173 Services AB	Amsterdam	NL	Netherlands
94.103.175.86	6613	tor-exit.squirrel.theremailer.net	48039	GHOSTnet GmbH	GHOSTnet GmbH	GHOSTnet GmbH			
84.200.56.34	6494		31400	Accelerated IT Services GmbH	Accelerated IT Services GmbH	Accelerated IT Services GmbH			
46.39.102.250	6398	customer-46-39-102-250.stosn.net	50821	Stockholms Stadsnat AB	Stockholms Stadsnat AB	Stockholms Stadsnat AB			
185.129.62.62	6291	tor01.zencurity.dk	57860	Zencurity ApS	Zencurity ApS	Zencurity ApS			
79.134.255.200	6265		6775	Andreas Fink trading as Fink Telecom Services	DataCell ehf	DataCell ehf			
185.65.134.76	5726		39351	31173 Services AB	31173 Services AB	31173 Services AB	Amsterdam	NL	Netherlands
45.33.48.204	5623	this-is-a-tor-exit-node-1.ntp1.pw	63949	Linode, LLC	Linode, LLC	Linode, LLC			
82.211.19.129	5549	server1.dxxmail.com	31400	Accelerated IT Services GmbH	Accelerated IT Services GmbH	Accelerated IT Services GmbH			
65.181.112.128	5168		25653	FortressITX	FortressITX	FortressITX			
5.153.234.90	5103		57858	Inter Connects Inc	Inter Connects Inc	Inter Connects Inc		SE	Sweden
91.146.121.3	5066	tor-exit.brmlab.cz	198031	Trustica s.r.o.	Trustica s.r.o.	Trustica s.r.o.			
192.160.102.164	4693	snowfall.relay.coldhak.com	395089	Hextet Systems	Hextet Systems	Hextet Systems			
46.28.110.136	4599	normalcitizen.spirosandreou.com	197019	WEDOS Internet, a.s.	WEDOS Internet, a.s.	WEDOS Internet, a.s.			
104.236.58.27	4450		393406	Digital Ocean, Inc.	Digital Ocean	Digital Ocean	New York	US	United States
188.126.81.155	4230	tor-exit.se.partyvan.eu	42708	Portlane AB	Portlane AB	Portlane AB			
5.135.158.101	4146	cloud.tor.ninja	16276	OVH SAS	OVH SAS	OVH SAS			
80.67.172.162	3786	algrothendieck.globenet.org	20766	Association Gitoyen	Association Gitoyen	Association Gitoyen			
178.162.205.2	3603		28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH		DE	Germany
172.98.67.32	2715		46562	Total Server Solutions L.L.C.	Total Server Solutions L.L.C.	Total Server Solutions L.L.C.	Toronto	CA	Canada
37.187.7.74	2706	justus.impium.de	16276	OVH SAS	OVH SAS	OVH SAS			
46.166.138.142	2688		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.		NL	Netherlands
212.47.246.21	2598	tor4thepeople1.torexitnode.net	12876	Online S.a.s.	Scaleway	Scaleway			
185.100.84.82	2582		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
185.65.134.81	2520		39351	31173 Services AB	31173 Services AB	31173 Services AB	Amsterdam	NL	Netherlands
45.56.90.85	2379	li892-85.members.linode.com	63949	Linode, LLC	Linode, LLC	Linode, LLC			
176.31.180.157	2264	mirror.armbrust.me	16276	OVH SAS	OVH SAS	OVH SAS			
94.26.140.150	2242	94-26-140-150.arbital.ru	44068	Style-Com	Style-Com	Style-Com			
5.196.1.129	2230	tor.thd.ninja	16276	OVH SAS	OVH SAS	OVH SAS			
178.162.199.142	1951	hosted-by.leaseweb.com	28753	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH	Leaseweb Deutschland GmbH		DE	Germany
185.100.85.101	1922		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
62.210.105.116	1876	62-210-105-116.rev.poneytelecom.eu	12876	Online S.a.s.	ONLINE SAS	ONLINE SAS			
108.61.123.73	1840	108.61.123.73.choopa.net	20473	Choopa, LLC	Choopa, LLC	Choopa, LLC	Paris	FR	France
178.20.55.18	1834	marcuse-2.nos-oignons.net	50618	LIAZO SARL	LIAZO SARL	LIAZO SARL			
178.20.55.16	1790	marcuse-1.nos-oignons.net	50618	LIAZO SARL	LIAZO SARL	LIAZO SARL			
46.166.190.192	1730		43350	NForce Entertainment B.V.	NFOrce Entertainment B.V.	NFOrce Entertainment B.V.		NL	Netherlands
212.7.217.50	1657		198156	Dediserv Dedicated Servers Sp. z o.o.	Dediserv Dedicated Servers Sp. z o.o.	Dediserv Dedicated Servers Sp. z o.o.		PL	Poland
91.213.8.84	1594	torsrvn.snydernet.net	48031	PE Ivanov Vitaliy Sergeevich	Hosting Solutions Ltd.	Hosting Solutions Ltd.			
45.79.85.112	1513	li1184-112.members.linode.com	63949	Linode, LLC	Linode, LLC	Linode, LLC			
91.213.8.235	1502		48031	PE Ivanov Vitaliy Sergeevich	Hosting Solutions Ltd.	Hosting Solutions Ltd.			
95.130.11.147	1448	tor-exit-readme.manalyzer.org	196689	Digicube sas	Hosting Customers	Hosting Customers			
92.222.28.243	1319	clauzel.eu	16276	OVH SAS	OVH SAS	OVH SAS	Paris	FR	France
91.213.8.236	1315	torsrvs.snydernet.net	48031	PE Ivanov Vitaliy Sergeevich	Hosting Solutions Ltd.	Hosting Solutions Ltd.			
185.34.33.2	1314	tor.laquadrature.net	39389	Cursys Sarl	Octopuce s.a.r.l.	Octopuce s.a.r.l.			
162.244.25.249	1209	c1104293-2938.cloudatcost.com	55053	2267921 ONTARIO LTD	KW Datacenter	KW Datacenter	Kitchener	CA	Canada
31.148.219.50	1157	jacobs.clientshostname.com	14576	Hosting Solution Ltd.	Hosting Solution	Hosting Solution		NL	Netherlands
185.100.85.190	1153		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
5.157.38.34	1013		60485	Inter Connects Inc	Inter Connects Inc	Inter Connects Inc		SE	Sweden
185.100.87.82	1006		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf	Bucharest	RO	Romania
195.154.90.122	944	argenla.tor-exit.network	12876	Online S.a.s.	Iliad-Entreprises	Iliad-Entreprises			
185.100.86.128	773		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
185.100.85.192	766		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
185.100.87.120	746		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
185.100.86.167	745		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf	Helsinki	FI	Finland
91.229.77.64	721	64-77-229-91.deltahost.com.ua	42331	PE Freehost	FOP Zemlyaniy Dmitro Leonidovich	FOP Zemlyaniy Dmitro Leonidovich			
185.100.86.86	691		200651	FlokiNET ehf	FlokiNET ehf	FlokiNET ehf			
71.19.157.127	580	tor.svc.explicate.org	47066	prgmr.com, Inc.	prgmr.com	prgmr.com			
94.242.57.2	541	tor-exit.becquerel.org	43317	OOO Fishnet Communications	vstoike.com vps clients	vstoike.com vps clients			
92.222.88.7	524	mx.marinovi.xyz	16276	OVH SAS	OVH SAS	OVH SAS	Paris	FR	France
151.236.23.54	520	54-23-236-151.static.edis.at	39020	Comvive Servidores S.L.	EDIS GmbH	EDIS GmbH		AT	Austria
185.104.120.2	500	exit02.brasshorncomms.uk	28715	Brass Horn Communications	Brass Horn Communications	Brass Horn Communications			
